线路ID,站点ID,经度,纬度
01线(上海西站-蓝村路南泉路),上海西站,121.410351,31.267932
01线(上海西站-蓝村路南泉路),曹杨路芝川路,121.410778,31.266364
01线(上海西站-蓝村路南泉路),曹杨路铜川路,121.412564,31.260611
01线(上海西站-蓝村路南泉路),曹杨路南石路,121.414482,31.254303
01线(上海西站-蓝村路南泉路),武宁新村,121.427916,31.24511
01线(上海西站-蓝村路南泉路),曹杨路谈家渡路,121.427965,31.239677
01线(上海西站-蓝村路南泉路),江苏路愚园路,121.435888,31.228978
01线(上海西站-蓝村路南泉路),江苏路延安西路,121.438529,31.222767
01线(上海西站-蓝村路南泉路),延安西路镇宁路,121.445491,31.224516
01线(上海西站-蓝村路南泉路),延安西路华山路,121.451025,31.226874
01线(上海西站-蓝村路南泉路),延安中路陕西北路,121.461306,31.229923
01线(上海西站-蓝村路南泉路),延安中路石门一路,121.472804,31.229634
01线(上海西站-蓝村路南泉路),延安东路浙江中路,121.487002,31.23542
01线(上海西站-蓝村路南泉路),世纪大道浦东南路,121.517275,31.240306
01线(上海西站-蓝村路南泉路),浦东南路潍坊路,121.52478,31.22748
01线(上海西站-蓝村路南泉路),浦东南路浦电路,121.525377,31.225164
01线(上海西站-蓝村路南泉路),浦东南路宁阳路,121.524919,31.21825
01线(上海西站-蓝村路南泉路),蓝村路南泉路,121.530466,31.217744
1002路(周浦东站-周康路年家浜路),周浦东站,121.613949,31.11594
1002路(周浦东站-周康路年家浜路),海尚乐苑,121.611214,31.121134
1002路(周浦东站-周康路年家浜路),周邓公路周园路,121.603475,31.120091
1002路(周浦东站-周康路年家浜路),周东路年家浜路,121.594137,31.119336
1002路(周浦东站-周康路年家浜路),周东路祝家港路,121.594793,31.117338
1002路(周浦东站-周康路年家浜路),祝家港路周东路,121.59226,31.1159
1002路(周浦东站-周康路年家浜路),祝家港路周市路,121.589978,31.115209
1002路(周浦东站-周康路年家浜路),南八灶,121.586866,31.115712
1002路(周浦东站-周康路年家浜路),韵浦路康沈路,121.584709,31.11774
1002路(周浦东站-周康路年家浜路),韵浦路周康路,121.581839,31.117458
1002路(周浦东站-周康路年家浜路),周康路年家浜路,121.578044,31.119264
1004路(庆荣路东川公路-白龙港),庆荣路东川公路,121.727459,31.242054
1004路(庆荣路东川公路-白龙港),庆利路庆荣路,121.730943,31.242023
1004路(庆荣路东川公路-白龙港),庆利路凌白公路,121.732193,31.237179
1004路(庆荣路东川公路-白龙港),前哨支路凌白公路,121.741183,31.237975
1004路(庆荣路东川公路-白龙港),向东村,121.739523,31.241506
1004路(庆荣路东川公路-白龙港),腾家宅,121.737453,31.243219
1004路(庆荣路东川公路-白龙港),前哨支路前哨路,121.736795,31.245215
1004路(庆荣路东川公路-白龙港),包家宅,121.739463,31.246369
1004路(庆荣路东川公路-白龙港),上海船厂,121.742643,31.24677
1004路(庆荣路东川公路-白龙港),石码头,121.745266,31.246693
1004路(庆荣路东川公路-白龙港),前哨二队,121.747116,31.244755
