线路ID,站点ID,经度,纬度
1034路,懿行路和炯路,121.518724,31.131275
1034路,和炯路林展路,121.516006,31.129788
1034路,林展路懿行路,121.514793,31.130770000000002
1034路,懿行路三鲁路,121.51184199999999,31.130511
1034路,三舒路和融路,121.51008600000002,31.130944
1034路,和融路三彩路,121.50606200000001,31.130557
1034路,芦恒路枢纽站(下客站),121.505738,31.123876
1006路,永宁路巨峰路,121.619964,31.284891
1006路,巨峰路金京路,121.622017,31.285412
1006路,金京路源华路,121.62345400000001,31.287595
1006路,高宝路金京路,121.624532,31.296162
1006路,高宝路高建路,121.62605,31.296139
1006路,高设路东靖路,121.62859499999999,31.298231
1006路,东力新村,121.632231,31.293042
1005路,中横港路东立新村桥,121.76636599999999,31.173834999999997
1005路,东立新村,121.764699,31.178735999999997
1005路,东亭路军民路,121.76043700000001,31.179407
1005路,东亭路晨阳路,121.759134,31.180522999999997
1005路,东亭路晚霞路,121.75865800000001,31.182852
1005路,东亭路朝晖路,121.757967,31.186362
1005路,朝晖路江明路,121.75438700000001,31.186413
1005路,朝晖路川南奉公路,121.75233899999999,31.186111
1005路,晨阳路川南奉公路,121.75204199999999,31.180916999999997
1005路,晨阳西路建宜路,121.75022299999999,31.180276
1005路,晨阳西路临翠路,121.74413700000001,31.178202000000002
1005路,晨阳西路新共路,121.74160400000001,31.177395
1010路,长岛路东陆路,121.60931599999999,31.271975
1010路,牟平路博兴路,121.605747,31.271472999999997
1010路,博兴路东陆路,121.604408,31.274119
1010路,博兴路凌河路,121.60788500000001,31.277171000000003
1010路,博兴路归昌路,121.607974,31.281299
1010路,归昌路五莲路,121.60666599999999,31.283405
1010路,凌河路利津路,121.601277,31.283309000000003
1010路,利津路巨峰路,121.600352,31.288353999999998
1010路,双桥路利津路,121.599309,31.290119
1010路,巨峰路地铁站,121.596007,31.286679
1015路,莱阳路行南路,121.589504,31.335418
1015路,行南路南新路,121.592225,31.335966
1015路,行南路张杨北路,121.594567,31.333979
1015路,秋岚路张杨北路,121.597334,31.332815000000004
1015路,兰嵩路白萱路,121.599071,31.334701000000003
1015路,航津路地铁站,121.60042,31.341752000000003
1015路,秋霞路杨高北路,121.597824,31.342623
1015路,季景路夏碧路,121.595223,31.342959000000004
1015路,夏碧路张杨北路,121.591486,31.341921999999997
1015路,莱阳路夏碧路,121.588949,31.340464
1017路,张杨北路洲海路,121.595875,31.318123999999997
1017路,芳菲路繁锦路,121.594007,31.314703
1017路,莱阳路芳湄路,121.58952,31.316003000000002
1017路,莱阳路启帆路,121.589533,31.318170000000002
1017路,洲海路莱阳路,121.58827099999999,31.322653999999996
1017路,浦东北路行南路,121.584368,31.328384000000003
1017路,庭安路浦东北路,121.584682,31.330675
1017路,莱阳路衡安路,121.589533,31.32732
1017路,繁锦路洲海路,121.592983,31.319894
1017路,张杨北路洲海路,121.595871,31.318224
1022路,海阳路长清路,121.49875300000001,31.159976
1022路,海阳路灵岩南路,121.503285,31.161340000000003
1022路,海阳路上南路,121.505994,31.162394
